column,present,n_na,n_rows,pct_na,status
hts10,TRUE,0,242972640,0,expected
country,TRUE,0,242972640,0,expected
base_rate,TRUE,0,242972640,0,expected
statutory_base_rate,TRUE,0,242972640,0,expected
rate_232,TRUE,0,242972640,0,expected
rate_301,TRUE,0,242972640,0,expected
rate_301_cs,TRUE,0,242972640,0,expected
rate_ieepa_recip,TRUE,0,242972640,0,expected
rate_ieepa_fent,TRUE,0,242972640,0,expected
rate_s122,TRUE,0,242972640,0,expected
rate_section_201,TRUE,0,242972640,0,expected
rate_other,TRUE,0,242972640,0,expected
metal_share,TRUE,0,242972640,0,expected
heading_program,TRUE,0,242972640,0,expected
total_additional,TRUE,0,242972640,0,expected
total_rate,TRUE,0,242972640,0,expected
usmca_eligible,TRUE,0,242972640,0,expected
revision,TRUE,0,242972640,0,expected
effective_date,TRUE,0,242972640,0,expected
valid_from,TRUE,0,242972640,0,expected
valid_until,TRUE,0,242972640,0,expected
statutory_rate_232,TRUE,15747,242972640,0.01,extra
deriv_type,TRUE,236545920,242972640,97.35,extra
steel_share,TRUE,55153418,242972640,22.7,extra
aluminum_share,TRUE,55153418,242972640,22.7,extra
copper_share,TRUE,55153418,242972640,22.7,extra
other_metal_share,TRUE,55153418,242972640,22.7,extra
is_copper_heading,TRUE,55153418,242972640,22.7,extra
s232_annex,TRUE,238397222,242972640,98.12,extra
statutory_rate_ieepa_recip,TRUE,0,242972640,0,extra
statutory_rate_ieepa_fent,TRUE,0,242972640,0,extra
statutory_rate_301,TRUE,0,242972640,0,extra
statutory_rate_301_cs,TRUE,0,242972640,0,extra
statutory_rate_s122,TRUE,0,242972640,0,extra
statutory_rate_section_201,TRUE,0,242972640,0,extra
statutory_rate_other,TRUE,0,242972640,0,extra
